	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
$girlfriend	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$hair band	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$lifeguard	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$potter	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$scateboard	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$sea skating board	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$skateborder	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$snowjocket	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$spectator	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$sunglasses	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$visitor	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$bedseat	people	0.22	0.00	0.00	0.11	0.00	0.00	0.00	0.33
$labtap	people	0.22	0.00	0.00	0.11	0.00	0.00	0.00	0.33
$mixchir	people	0.22	0.00	0.00	0.11	0.00	0.00	0.00	0.33
$swim suit	people	0.22	0.00	0.00	0.00	0.00	0.00	0.11	0.33
$camara	people	0.22	0.11	0.00	0.00	0.00	0.00	0.00	0.33
$neck tie	people	0.22	0.11	0.00	0.00	0.00	0.00	0.00	0.33
$coffee pot	home	0.11	0.00	0.00	0.22	0.00	0.00	0.00	0.33
$heels	home	0.11	0.00	0.00	0.22	0.00	0.00	0.00	0.33
$printer	people	0.11	0.00	0.00	0.11	0.00	0.00	0.11	0.33
$eating	clothing	0.11	0.22	0.00	0.00	0.00	0.00	0.00	0.33
$jacket, coat	clothing	0.11	0.22	0.00	0.00	0.00	0.00	0.00	0.33
$centerpiece	food	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.33
$omlet	food	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.33
$desserts	food	0.00	0.00	0.00	0.11	0.22	0.00	0.00	0.33
$boowel	home	0.00	0.00	0.00	0.22	0.11	0.00	0.00	0.33
$coffee mug	home	0.00	0.00	0.00	0.22	0.11	0.00	0.00	0.33
$dumplings	home	0.00	0.00	0.00	0.22	0.11	0.00	0.00	0.33
$bleacher	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$booster seat	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$bothroom	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$brutes	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$cape	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$couches	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$credit card	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$cusion	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$dirt path	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$keyboared	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$kitchen table	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$knif	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$lapop	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$livingroom	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$pocket knife	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$porcelain	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$restroom	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$sleeping bag	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$tabel	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$takeout	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$taptop	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$taxidermy	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$teacup	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$teddy beer	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$urinal	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$wash pasan	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$wash room	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$whiskers	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$flwer	home	0.00	0.00	0.00	0.22	0.00	0.00	0.11	0.33
$newspaper	home	0.00	0.11	0.00	0.22	0.00	0.00	0.00	0.33
$wineglass	home	0.00	0.11	0.00	0.22	0.00	0.00	0.00	0.33
$clocktower	buildings	0.00	0.00	0.00	0.11	0.00	0.00	0.22	0.33
$bot	vehicles	0.00	0.00	0.00	0.11	0.00	0.22	0.00	0.33
$poster	vehicles	0.00	0.00	0.00	0.11	0.00	0.22	0.00	0.33
$alcohol	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$apartment building	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$birdge	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$canopys	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$duplex	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$electric pole	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$goal	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$scoreboard	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$ski lodge	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$stair case	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$boathouse	buildings	0.00	0.00	0.00	0.00	0.00	0.11	0.22	0.33
$teran	vehicles	0.00	0.00	0.00	0.00	0.00	0.22	0.11	0.33
$airaeroplane	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$bote	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$ice cream truck	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$motercycle	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$motor-cycle	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$motorcycyle	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$mototrcycle	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$pontoon boat	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$ssp	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$train cart	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$traincar	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$triean	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$bangles	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$denim jacket	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$diy	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$fire hydrant cap	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$inner	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$jacker	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$shoulders	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$sleeveless dress	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$tatoo	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$toga	clothing	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.33
$akiea	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$car sheet	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$flock of sheep	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$gemsbok	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$giraffidae	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$girraffee	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$ham	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$key borad	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$perching bird	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$sheepskin	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$gross	home	0.12	0.00	0.00	0.20	0.00	0.00	0.00	0.33
$jack	vehicles	0.00	0.00	0.00	0.00	0.12	0.20	0.00	0.33
$conter	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$doormat	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$game	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$train seat	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$bullpen	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33
$clay	animals_plants	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.33
$roast	food	0.00	0.00	0.11	0.00	0.20	0.00	0.00	0.31
$blate	animals_plants	0.00	0.00	0.20	0.00	0.11	0.00	0.00	0.31
$cubicle	home	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.31
$swiss army knife	home	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.31
$shears	home	0.00	0.00	0.00	0.20	0.00	0.00	0.11	0.31
$stair	home	0.00	0.00	0.00	0.20	0.00	0.00	0.11	0.31
$cutter	home	0.00	0.11	0.00	0.20	0.00	0.00	0.00	0.31
$pin	home	0.00	0.00	0.11	0.20	0.00	0.00	0.00	0.31
$outside	buildings	0.00	0.00	0.00	0.11	0.00	0.00	0.20	0.31
$billboard	clothing	0.00	0.20	0.00	0.00	0.00	0.00	0.11	0.31
$zebra's	animals_plants	0.00	0.00	0.20	0.00	0.00	0.00	0.11	0.31
$wildebeest	animals_plants	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.31
$blender pitcher	home	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.31
$junk	home	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.31
$scale	home	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.31
$pillow cover	home	0.00	0.00	0.14	0.17	0.00	0.00	0.00	0.31
$color	animals_plants	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.31
$fruitstand	people	0.17	0.00	0.00	0.12	0.00	0.00	0.00	0.29
$balte	food	0.00	0.00	0.12	0.00	0.17	0.00	0.00	0.29
$dougnut	home	0.00	0.00	0.00	0.17	0.12	0.00	0.00	0.29
$axe	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$cement	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$dressing table	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$toothbrushes	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$storage	home	0.00	0.00	0.00	0.17	0.00	0.12	0.00	0.29
$conveyer	buildings	0.00	0.00	0.00	0.12	0.00	0.00	0.17	0.29
$toll booth	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.29
$cable	vehicles	0.00	0.12	0.00	0.00	0.00	0.17	0.00	0.29
$tuck	animals_plants	0.00	0.00	0.17	0.00	0.00	0.12	0.00	0.29
$fingers	clothing	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.29
$bullock	animals_plants	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.29
$tiger	animals_plants	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.29
$veterinarian	people	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.29
$bite	food	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.29
$ribs	food	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.29
$sprouts	food	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.29
$saled	food	0.00	0.00	0.00	0.14	0.14	0.00	0.00	0.29
$capet	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$ears	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$pedestal	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$shower door	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$tents	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$trophy	home	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.29
$food tray	home	0.00	0.00	0.00	0.14	0.00	0.00	0.14	0.29
$rop	home	0.00	0.00	0.14	0.14	0.00	0.00	0.00	0.29
$tail	home	0.00	0.00	0.14	0.14	0.00	0.00	0.00	0.29
$column	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.29
$harbor	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.29
$pillar	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.29
$waist	clothing	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.29
$dalmatian	animals_plants	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.29
$pork chop	animals_plants	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.29
$shetland pony	animals_plants	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.29
$brash	home	0.11	0.00	0.00	0.17	0.00	0.00	0.00	0.28
$games	home	0.11	0.00	0.00	0.17	0.00	0.00	0.00	0.28
$capple	buildings	0.11	0.00	0.00	0.00	0.00	0.00	0.17	0.28
$gir	animals_plants	0.11	0.00	0.17	0.00	0.00	0.00	0.00	0.28
$buns	food	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.28
$curry	food	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.28
$paper cloth	food	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.28
$pieca	food	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.28
$bunch	food	0.00	0.00	0.11	0.00	0.17	0.00	0.00	0.28
$batel	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$buttons	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$cd-player	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$food box	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$streetlamp	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$vegtabils	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$washbesan	home	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.28
$bech	home	0.00	0.00	0.00	0.17	0.00	0.00	0.11	0.28
$woodern	home	0.00	0.00	0.00	0.17	0.00	0.11	0.00	0.28
$balt	home	0.00	0.11	0.00	0.17	0.00	0.00	0.00	0.28
$beds sheet	clothing	0.00	0.17	0.00	0.11	0.00	0.00	0.00	0.28
$dougout	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.28
$train bridge	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.28
$guard rail	buildings	0.00	0.00	0.00	0.00	0.00	0.11	0.17	0.28
$boart	vehicles	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.28
$small truck	vehicles	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.28
$kitchen vent	clothing	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.28
$graffie	animals_plants	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.28
$udder	animals_plants	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.28
$french fry	home	0.12	0.00	0.00	0.14	0.00	0.00	0.00	0.27
$chesse	food	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.27
$serving	food	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.27
$opening	food	0.00	0.00	0.00	0.00	0.14	0.00	0.12	0.27
$sandwich meat	food	0.00	0.00	0.12	0.00	0.14	0.00	0.00	0.27
$cookies pan	home	0.00	0.00	0.00	0.14	0.12	0.00	0.00	0.27
$sausages	buildings	0.00	0.00	0.00	0.00	0.12	0.00	0.14	0.27
$bottom bun	vehicles	0.00	0.00	0.00	0.00	0.12	0.14	0.00	0.27
$bedsheed	home	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.27
$concession stand	home	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.27
$cpu	home	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.27
$entree	home	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.27
$toilet lid	home	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.27
$wires	home	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.27
$artwork	home	0.00	0.00	0.12	0.14	0.00	0.00	0.00	0.27
$telivision	home	0.00	0.00	0.12	0.14	0.00	0.00	0.00	0.27
$business	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.27
$townhomes	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.27
$driveway	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.12	0.27
$vehicles	vehicles	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.27
$staring	animals_plants	0.00	0.00	0.14	0.00	0.00	0.12	0.00	0.27
$headwear	clothing	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.27
$hijab	clothing	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.27
$iris	animals_plants	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.27
$stufffed animal	animals_plants	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.27
$eyeglasse	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$man and child	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$sunclass	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$tooth fresh	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$women and baby	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$group	people	0.14	0.00	0.00	0.11	0.00	0.00	0.00	0.25
$sciessor	people	0.14	0.00	0.00	0.11	0.00	0.00	0.00	0.25
$mopile	people	0.14	0.11	0.00	0.00	0.00	0.00	0.00	0.25
$bay	vehicles	0.11	0.00	0.00	0.00	0.00	0.14	0.00	0.25
$leef	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$rueben	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$pepperoni	food	0.00	0.00	0.00	0.11	0.14	0.00	0.00	0.25
$milk bottle	home	0.00	0.00	0.00	0.14	0.11	0.00	0.00	0.25
$bed frame	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$cabnet	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$cannister	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$chair legs	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$kitchen cabinet	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$lampost	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$piloow	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$seating	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$sheets	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$star	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$rain coat	home	0.00	0.11	0.00	0.14	0.00	0.00	0.00	0.25
$wessel	home	0.00	0.11	0.00	0.14	0.00	0.00	0.00	0.25
$chairt	buildings	0.00	0.00	0.00	0.11	0.00	0.00	0.14	0.25
$lamp post	buildings	0.00	0.00	0.00	0.11	0.00	0.00	0.14	0.25
$stove top	buildings	0.00	0.00	0.00	0.11	0.00	0.00	0.14	0.25
$tabil	animals_plants	0.00	0.00	0.14	0.11	0.00	0.00	0.00	0.25
$buliding	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$dugout fence	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$town	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$wael	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$caycle	buildings	0.00	0.00	0.00	0.00	0.00	0.11	0.14	0.25
$guard	buildings	0.00	0.11	0.00	0.00	0.00	0.00	0.14	0.25
$hanglider	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$landing strip	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$pantsuit	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25
$vent hood	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25
$meadow	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$bicylist	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$smart phone	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$soccer	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$two men	people	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25
$heals	people	0.12	0.00	0.00	0.12	0.00	0.00	0.00	0.25
$sneaker	people	0.12	0.00	0.00	0.12	0.00	0.00	0.00	0.25
$washing	people	0.12	0.00	0.00	0.12	0.00	0.00	0.00	0.25
$foored	people	0.12	0.00	0.00	0.00	0.00	0.00	0.12	0.25
$hair pin	people	0.12	0.12	0.00	0.00	0.00	0.00	0.00	0.25
$apple slices	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$cottage cheese	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$dressing	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$food topping	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$green bean	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$herb	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$muffin tin	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$pizze	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$rice pilaf	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$waffles	food	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25
$chilli	food	0.00	0.00	0.00	0.12	0.12	0.00	0.00	0.25
$garnish	food	0.00	0.00	0.00	0.12	0.12	0.00	0.00	0.25
$backsplash	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$botton	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$cane	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$cat jumps	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$display cabinet	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$display counter	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$dogbed	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$fish tank	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$flatware	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$fork tines	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$furiture	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$garbage can	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$griddle	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$jadi	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$knife and fork	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$photograph	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$prep area	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$sanveg	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$staute	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$swinging bench	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$taple	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$worksurface	home	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.25
$hotban	home	0.00	0.00	0.00	0.12	0.00	0.00	0.12	0.25
$micro ovan	home	0.00	0.00	0.12	0.12	0.00	0.00	0.00	0.25
$skateboard ramp	home	0.00	0.00	0.12	0.12	0.00	0.00	0.00	0.25
$alcove	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$bus shelter	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$garages	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$lunch room	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$parliament building	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$people sitting	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$serving tray	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25
$parking lot	buildings	0.00	0.00	0.00	0.00	0.00	0.12	0.12	0.25
$car door	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$crane truck	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$fishing boat	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$motar bike	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$plane wing	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$railway track	vehicles	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.25
$bolt	vehicles	0.00	0.12	0.00	0.00	0.00	0.12	0.00	0.25
$corral	vehicles	0.00	0.12	0.00	0.00	0.00	0.12	0.00	0.25
$bar rack	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25
$cloud	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25
$mayonaise	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25
$powerline	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25
$barat	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$berat	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$bufallo	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$dob	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$finch bird	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$gazzele	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$god	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$lama	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$lion statue	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$panner	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$tauk	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$toy horse	animals_plants	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.25
$aprin	people	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.24
$businessman	people	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.24
$child skier	people	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.24
$coman	people	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.24
$dentist	people	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.24
$men and child	people	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.24
